job_title,job_description
Quality Assurance Specialist,"This National Guard position is for a Quality Assurance Specialist, Position Description Number D1818000 and is part of the NJ 177th MAI GP, National Guard. This position is advertised as Open Until Filled
The initial review period for referral consideration will be 18 January 2018, applications received by this date will have the first opportunity for review. If no selection is made, applications received after this date will be given consideration on a monthly basis."
Physician (Radiologist),The incumbent for this position may be eligible to apply for the Education Debt Reduction Program (EDRP) contingent on funding availability. Please contact Human Resources at this medical center and speak with the Education Debt Reduction Program Coordinator for additional information. Please note EDRP is a one-time benefit so if you have already received EDRP in the past you would not be eligible to reapply.
Endocrinologist,"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans?"
Psychiatrist,"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans? This is an open continuous ad and all candidates will be reviewed on a weekly basis."
Registered Nurse (ACUTE CARE),The Registered Nurse Position is located in Memphis VA Medical Center.
Clinical Laboratory Scientist,"This position is in the clinical laboratory department of a medical/surgical USPHS Indian Hospital or outpatient Health in the Great Plains Area. Incumbent serves as a Senior Medical Technologist in charge of one of the clinical laboratory specialty disciplines of Hematology/Coagulation, Microbiology Blood Bank/Specimen Referral."
Clinical Laboratory Scientist,"This position is in the clinical laboratory department of a medical/surgical USPHS Indian Hospital or outpatient Health in the Great Plains Area. Incumbent serves as a Senior Medical Technologist in charge of one of the clinical laboratory specialty disciplines of Hematology/Coagulation, Microbiology Blood Bank/Specimen Referral."
Supervisory Anatomic Pathology Specialist,"OUR MISSION: To fulfill President Lincoln's promise ""To care for him who shall have borne the battle, and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans?"
PHYSICIAN (OCCUPATIONAL MEDICINE),The selectee for this position will serve as an Occupational Health Physician in the Occupational Medicine and Health Department of NAVHOSP JACKSONVILLE.
Physician (GI),"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans?"
LICENSED PRACTICAL NURSE,"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans? VA encourages persons with disabilities to apply. The health related positions in VA are covered by Title 38, and are not covered by the Schedule A excepted appointment authority."
RN Progressive Care Unit,The incumbent for this position may be eligible to apply for the Education Debt Reduction Program or to receive a recruitment incentive may be authorized with a 2 year obligation agreement. Please contact Human Resources at this medical center and speak with the Education Debt Reduction Program Coordinator for additional information.
Physician Patient Aligned Care Team (PACT) Medical Service,"Some outstanding VA benefits include:
-Outpatient positions - limited weekend/after hour clinics
-Malpractice protection covered by the Federal Government
-Recruitment incentive authorized
-Federal Employees Retirement System (FERS).
-Thrift Savings Plan (TSP), Government version of 401K Plan
-Market pay reviewed biennially for increase
-Annual performance based pay bonus up to $15,000 or 7.5% of pay
-Up to 26 days paid annual vacation, 13 days sick leave
-10 paid Federal holidays"
Physician (Neurologist),"THIS IS AN ""OPEN CONTINUOUS"" ANNOUNCEMENT; HR will accept applications for this position on an ongoing basis through September 27, 2019. You will be notified by email when your application has been sent to selecting officials for review. One Supervisory (Section Chief) position is available at the Biloxi location AND One Non-Supervisory position is available at the Pensacola location. Recruitment or Relocation Incentives are not authorized."
Registered Nurse-Extended Care Service,"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans?"
Physician-Critical Care,"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans?"
"Physician, Vascular","OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans? Recruitment/Relocation Incentive is authorized for highly qualified candidates."
Physician (Oncologist),"THIS IS AN ""OPEN CONTINUOUS"" ANNOUNCEMENT; HR will accept applications for this position on an ongoing basis through September 27, 2019. You will be notified by email when your application has been sent to selecting officials for review.
NOTE : Applicant's education and length of practice (experience) will be considered by a Compensation Panel in determining the salary
1 Full Time Vacancy available &amp; 1 Part Time Vacancy in Biloxi.
Recruitment or Relocation Incentives are not authorized."
Optometrist,"The West Texas VA Health Care System, Big Spring, Texas is currently recruiting for an Optometrist, Ophthalmology Service."
Physician (Psychiatrist),"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans?"
Physician (Dermatologist),"THIS IS AN ""OPEN CONTINUOUS"" ANNOUNCEMENT; HR will accept applications for this position on an ongoing basis through September 27, 2019. You will be notified by email when your application has been sent to selecting officials for review.
NOTE Applicant's education and length of practice (experience) will be considered by a Compensation Panel in determining the salary.
1 Full Time Vacancy available in Biloxi & 1 Full Time Vacancy in Pensacola. Recruitment or Relo Incentives are not authorized."
PHYSICIAN (FAMILY PRACTICE),"The Family Practice Physician is assigned to Directorate Branch Clinic/Tricare Prime Clinic Virginia Beach Family Medicine, Family Med Team One (PCMH), Naval Medical Center, Portsmouth, VA. Although the selectee will be primarily assigned to the one Homeport Team, assignment to another patient care area or another branch clinic where services are needed may be done in the interest of quality patient care and staffing demands."
Nurse Practitioner (Psych),"The Nurse Practitioner (Psych) position is located in the Behavioral Health Care Line (May be required to work at both locations, Canandaigua VA Medical Center and/or Rochester Based Outpatient Clinic)"
Medical Technologist,"This position is located in the Laboratory at the Pine Ridge Service Unit in Pine Ridge, South Dakota. The purpose of this position is to perform a variety of procedures including complex analyses, using and maintain equipment and setting up and monitoring quality controls. This position is being re-advertised to solicit additional applications. Applicants who applied previously need not reapply unless submitting updated and/or missing information."
Student Volunteer Intern - Office of International Affairs (Winter/Spring 2020),"The Office of International Affairs (OIA) is seeking interns for the Winter/Spring 2020 semester. OIA returns fugitives to face justice, transfers sentenced persons to serve their sentences in their home countries and obtains essential evidence for criminal investigations and prosecution worldwide by working with domestic partners and foreign counterparts to facilitate the cooperation necessary to enforce the law, advance public safety, and achieve justice."
POLICE OFFICER,THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a Police Officer Position Description Number D2155 and is part of the Maryland Air National Guard.
Forestry Aid (FIRE),"This position is located with the Bureau of Indian Affairs, Superintendent, Fort Peck Agency in Poplar, Montana."
Physician (Rheumatology),"The physician will treat a vast array of Rheumatologic conditions. Responsibilities include daily clinics as well as urgent/emergent workload and participation in our affiliated fellowship program with the University of Missouri School of Medicine-Columbia. Work Schedule: Part-time schedule to be negotiated at time of selection.
Financial Disclosure Report: Not required"
Primary Care Bemidji CBOC,"Seeking a Full Time board certified or board eligible Family Practice or Internal Medicine Physician to provide care to veterans at the Bemidji, MN Community Based Outpatient Clinic (CBOC). PLEASE NOTE: The anticipated start date for this position will be mid-December 2018"
NP-Primary Care Bemidji CBOC,"PLEASE NOTE: The anticipated start date for this position will be mid-December 2018 **This position is open to physician, physician assistant, or nurse practitioner applicants** Work Schedule: Monday-Friday 0800-1630
Financial Disclosure Report: Not required"
INVENTORY MANAGEMENT SPECIALIST,"You will serve as an Inventory Management Specialist in the Submarine &amp; Aircraft Carrier OPS DIR of NAVSUP WEAPON SYSTEMS SUPPORT. There may or may not be actual vacancies filled from this register. As such, Notices of Results (NORs) may or may not be sent to applicants who apply to this announcement."
Physician (Hematology/Oncology),"The Harry S. Truman Memorial Veterans' Hospital in Columbia, Missouri is recruiting for a full-time Hematologist/Oncologist. Work Schedule: Full time - 40 hours per week
Financial Disclosure Report: Not required
*RECRUITMENT/RELOCATION INCENTIVE (SIGN ON BONUS) MAY BE OFFERED TO HIGHLY QUALIFIED CANDIDATES*"
Psychiatrist - General Mental Health Clinic,"The incumbent is the Psychiatrist for the Mental Health Program, and is responsible for the provision of Mental Health treatment and services for veterans enrolled in all of the various components of the program, such as the Inpatient, Outpatient, Day Treatment, and Mental Health (MHICM)."
Physician - Urgent Care Clinic,"This position is located within the Urgent Care Clinic at the Bath VA Medical Center and will serve as a full time or part time Urgent Care physician who directs Urgent Care services within facility. Work Schedule: 12-hour coverage; to be discussed at interview.
Financial Disclosure Report: Not required You may be eligible for the EDRP Program. Please contact Human Resources at this medical center and speak with the Education Debt Reduction Program Coordinator for additional information."
Physician (Psychiatry),"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans?"
Psychiatrist (STAR SPCC),"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans?"
Interdisciplinary Engineer,"This is a public notice flyer to notify interested applicants of anticipated vacancies. Applications will not be accepted through this flyer. Interested applicants must follow the directions in the ""How to Apply"" section of this flyer to be considered. There may or may not be actual vacancies filled from this flyer. Notice of Result letters will not be sent to applicants who respond to this flyer. Positions location: Bangor, Washington"
Graduate Psychologist,"This vacancy announcement is for psychologists who will be graduating with a doctoral degree in psychology by September 28, 2019. This is an open-continuous announcement. We will accept applications on an on-going basis until the position is filled. Work Schedule: Monday - Friday 8:00 a.m. - 4:30 p.m. (Alternate schedules may be necessary to meet the needs of the organization.)
Financial Disclosure Report: Not required"
Physician - Primary Care,"There are Physician (Primary Care) positions is located the Canandaigua VA Medical Center, the Bath VA Medical Center, as well as possible opportunities at the associated outpatient clinics. Education Debt Reduction Program: You may be eligible to apply for an award up to $120,000 under the Education Debt Reduction Program (EDRP). Please contact Human Resources at this medical center and speak with the EDRP Coordinator for additional information."
Physician (Geriatrics & Extended Care),"This is an OPEN-CONTINUOUS announcement; HR will accept applications for this position on an on-going basis through September 27, 2019. You will be notified by email when your application has been sent to selecting officials for review. This position is eligible for EDRP (Education Debt Reduction). Recruitment/Relocation incentives are authorized for a highly qualified candidate."
PHYSICIAN  (Psychiatrist various areas and locations),"Psychiatrists are ultimately responsible for all aspects of psychiatric care. Psychiatrists are able to perform and teach all of the services required in the practice of psychiatry to psychiatry residents. Work Schedule: Monday - Friday 8:00am - 4:30pm
Financial Disclosure Report: Not required"
Psychiatrist,A selected applicant for this position may be eligible to apply for an award under the provisions of the Education Debt Reduction Program (EDRP) provided the applicant has qualifying loans and subject to the availability of funds. This Announcement will remain open until filled and may be used to fill multiple vacancies. Applicants will be referred to the hiring manager as they are received and this announcement may close without advanced notice.
Physician - Primary Care (PACT),"VANJHCS seeks to recruit a full-time Primary Care (PACT) Physician at its East Orange, NJ Flagship Campus. PACT denotes the ""Patient Aligned Care Team,"" which is the VA's patient-centered medical home model. The key role of the Primary Care Physician is to provide comprehensive patient-centered primary medical care to a panel of Veterans through a team-based approach."
Physician - Psychiatrist,"RECRUITMENT INCENTIVE MAY BE AUTHORIZED You could be part of an important initiative to provide mental health care for our nations Veterans! The Department of Veterans Affairs (VA) needs mental health professionals who possess the energy, compassion, and commitment to serve those who serve our Country. Working for the VA will give you a chance to make a meaningful and personal contribution to the lives of truly special and deserving people - our Veterans. America's Veterans need you!"
Physician (Hematologist/Oncologist),"The Ralph H. Johnson Veterans Affairs Medical Center (VAMC) in partnership with our academic affiliate, the Medical University of South Carolina (MUSC), seeks to recruit a full-time staff Hematologist / Oncologist. Located in historic downtown Charleston, SC, the Ralph H. Johnson VA Medical Center is a tertiary care teaching hospital providing the highest level quality for more than 75,000 Veterans along the South Carolina and Georgia coast."
Physician - Emergency Medicine,"The medical center provides care to approximately 82,000 veterans in the midlands and upstate South Carolina. Community Based Outpatient Clinics are located in Anderson, Greenville, Spartanburg, Florence, Orangeburg, Sumter, and Rock Hill, and provide primary care, mental health, and telemedicine services. Dorn VAMC is affiliated with the University of South Carolina (USC) School of Medicine and provides teaching services for students and residents."
Physician - Ophthalmologist,"The Dorn VAMC in Columbia, SC, seeks a board certified or board eligible Ophthalmologist with fellowship training in glaucoma, cornea or oculoplastic. Incumbent must be willing to actively participate in resident education."
MATERIALS HANDLER (Title 32),"This National Guard position is for a MATERIALS HANDLER (Title 32), Position Description Number D1950000 and is part of the Oregon National Guard 142nd Fighter Wing, National Guard. This position is a Title 32 Excepted Service - Military position. Oregon Air National Guard military service is a condition of employment."
Physician (Urologist),"The Marion, Illinois VA Medical Center is currently seeking three full-time board
certified/board eligible physicians to join the Surgical Service for the position of Urologist. Two of the positions will be working at the Marion, IL facility and the third position will work at the Evansville Health Care Center (EHCC), Evansville, IN. Work Schedule: Monday-Friday, 8:00 am to 4:30 pm
Financial Disclosure Report: Not required"
Geri-PACT Clinic Medical Director,"The Geri-PACT Program Medical Director is a physician who is responsible for the overall medical care delivered by the Geri-PACT Team in the Memphis VA Medical Center with outpatient experience and geriatrics qualifications required. These qualifications include experience and training in the care of frail, elderly patients, and American board certification in Geriatric medicine."
FORESTRY TECHNICIAN (FIRE),"Preference in filling vacancies is given to qualified Indian candidates in accordance with the Indian Reorganization Act of 1934 (Title 25, USC, Section 472). Verification Form BIA-4432 must be submitted with the application if claiming Indian Preference.Consideration will be given to Non-Indian applicants in the absence of qualified Indian Preference eligibles. For more information please visit: https://www.bia.gov/jobs."
Wounded Warrior Fellowship Program,This position is limited to veterans desiring to serve a two-year paid Congressional Fellowship as part of the House of Representatives Wounded Warrior Fellowship Program. Selected Fellows will work directly for a Member of Congress as part of their office staff.Fellowships are located in Congressional District Offices around the country.
Substitute Teacher/AVID Tutor,"This announcement was amended on 5/2/19 to update the closing date, and the daily salary amount to $56.50 per half-day and $113.00 per full-day. THIS IS A PUBLIC NOTICE FLYER. INTERESTED APPLICANTS MUST SUBMIT COMPLETED SUBSTITUTE TEACHER APPLICATIONS TO THEIR SCHOOL OF CHOICE LOCATED WITHIN THEIR COMMUTING AREA. Do you want to work for an exciting educational organization, with the children of our dedicated U.S. Military members? If so, then we are looking for you!"
Physician (Emergency Department-Part-time),"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans?"
Substitute Teacher,"This announcement was amended on 4/29/19 to update the closing date, and the daily salary amount to $56.50 per half-day and $113.00 per full-day. THIS IS A PUBLIC NOTICE FLYER. INTERESTED APPLICANTS MUST SUBMIT COMPLETED SUBSTITUTE TEACHER APPLICATIONS TO THEIR SCHOOL OF CHOICE LOCATED WITHIN THEIR COMMUTING AREA. Do you want to work for an exciting educational organization, with the children of our dedicated U.S. Military members? If so, then we are looking for you!"
RN Cardiac Cath Lab/EP,"The duty station for this position is located at the John Cochran division. However, it may be changed to one or multiple associated VA ST Louis locations within the metropolitan St. Louis, MO area based on the needs of the medical center. This position is in the bargaining unit. Work Schedule: This position has varying shifts and on call is required.
Financial Disclosure Report: Not required"
Physician - Interventional Radiologist,WJB Dorn VA Medical Center is seeking to fill an Interventional Radiologist position. The duties include but are not limited to: providing interpretive and patient care services within the scope of general/interventional radiology and will have responsibilities in other areas such as education and committee service. Also providing direct patient care in a hospital setting to adults with acute and chronic medical conditions and you will serve as a consultant to other physicians.
Physician - Wound Care,"The WJB VA Medical Center is actively recruiting a full-time wound care specialist to participate in our clinical and teaching programs. Work Schedule: Monday - Friday, 8:00 am to 4:30 pm with nights, weekends, and call as needed. Subject to change based on the needs of the facility.
Financial Disclosure Report: Not required
Recruitment/relocation incentive: Approved (6/4/18 announcement amended to include approval.)"
Physician - Urologist,"The Dorn VA Medical Center, Columbia, SC is currently seeking full-time board certified/board eligible Urologist to join the Surgery Service Team."
Gastroenterologist,*There will be bi-weekly referrals until filled/closed* Selectee IS eligible to apply for Education Debt Reduction Program (EDRP).
Supervisory Physician,"The position of Supervisory Physician (Outpatient) is located in Branch of Medical Staff/Outpatient Services, Division of Professional Services, Blackfeet Service Unit, Browning, Montana. Position reports to the Supv Physician or designee. This position is being announced concurrently under Direct Hire procedures. Please review vacancy announcement number IHS-18-BI-10223221-DH; for eligibility requirements. NOTE: Applicants must apply separately for each announcement in order to be considered."
Supervisory Physician,"The position of Supv Physician is located in Branch of Medical Staff/Outpatient Services, Division of Professional Services, Blackfeet Service Unit, Browning, Montana. Position reports to the Supv Physician or designee. This position is announced concurrently under Excepted Service and Merit Promotion Plan procedures. Please review announcement number IHS-18-BI-10223206-ES/MP; for eligibility requirements. NOTE: Applicants must apply separately for each announcement in order to be considered."
PHYSICIAN (OCCUPATIONAL MEDICINE),"In this position you will provide comprehensive Occupational Health programs to all personnel. This center is a heavy industrial work area. Employees may be firefighters, security personnel, ordnance maintenance personnel, refurbishers of torpedoes, nuclear engineers, welders, machinists and painters. The diverse workforce and heavy industrial nature of the work place requires a wide range of Occupational Health Program elements."
Physician (Gastroenterologist),"This is an OPEN-CONTIUOUS announcement; HR will accept applications for this position on an ongoing basis through September 27, 2019. You will be notified by email when your application is sent to selecting officials for review."
STUDENT TRAINEE (ENGINEERING TECHNOLOGY),"About the Position: Position(s) will be filled under the Department of the Army Pathways Intern Program. Click here for more information on Pathways program participation.
As a Student Trainee (Engineering Technology), you will work under the supervision of a higher graded employee, performing a variety of limited routine tasks."
Health Technician (Certified Medical Assistant),"This position is located in an ambulatory health center located in Wellpinit, Washington. The incumbent functions as a Certified Medical Assistant and provides clerical and medical assistance to health care providers. This position is being re-advertised to solicit additional applications. Applicants who applied previously need not reapply unless submitting updated and/or missing information."
Health Technician (Certified Medical Assistant),"This position is located in an ambulatory health center located in Wellpinit, Washington. The incumbent functions as a Certified Medical Assistant and provides clerical and medical assistance to health care providers. This position is being re-advertised to solicit additional applications. Applicants who applied previously need not reapply unless submitting updated and/or missing information."
Advanced Practice Nurse (NP),"This position is located in the Behavioral Health Program of the Pine Ridge IHS Hospital in Pine Ridge, SD. The position is that of a Certified Family Nurse Practitioner with experience in Mental Health, substance abuse, and family practice. The purpose of this position is to provide clinical psychiatric nurse practitioner services under the supervision of an attending psychiatrist and/or physician supervisor."
Advanced Practice Nurse (NP),"This position is located in the Behavioral Health Program of the Pine Ridge IHS Hospital in Pine Ridge, SD. The position is that of a Certified Family Nurse Practitioner with experience in Mental Health, substance abuse, and family practice. The purpose of this position is to provide clinical psychiatric nurse practitioner services under the supervision of an attending psychiatrist and/or physician supervisor."
Ophthalmologist (Physician),"**Recruitment and/or Relocation Incentive may be approved for a highly qualified applicant. ** The Marion VA Medical Center and the Evansville Health Care Center is seeking a full-time Ophthalmologist to join our Surgical Service, Board Eligible or Board Certified in Ophthalmology is preferred, . The Ophthalmologist will perform primary clinical and surgical duties in the Marion VA Medical Center and the Evansville Health Care Center, Evansville, IN."
Contracting-DHA/EHA ACWA GS-1102-05,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. This is NOT an announcement to fill a vacancy. NO POSITIONS will be filled from this posting. This is an ACWA ASSESSMENT TEST for a previous Public Notice. DO NOT apply to this posting UNLESS you have received an email invitation to do so. Persons who apply without invitation WILL NOT be reviewed or referred for consideration and WILL NOT receive notification of such."
Contracting-DHA/EHA ACWA GS-1102-07,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. This is NOT an announcement to fill a vacancy. NO POSITIONS will be filled from this posting. This is an ACWA ASSESSMENT TEST for a previous Public Notice. DO NOT apply to this posting UNLESS you have received an email invitation to do so. Persons who apply without invitation WILL NOT be reviewed or referred for consideration and WILL NOT receive notification of such."
Physician/Oncologist,Board Certified/Eligible General Surgeon (Oncology) - The Hunter Holmes McGuire Department of Veterans Affairs Medical Center is seeking an experienced surgical oncologist to join the Surgical service line. &middot;
Certified Registered Nurse Practitioner (Behavioral Health),"This Certified Registered Nurse Practitioner position is located in Behavioral Health. This announcement will remain open until the position has been filled. If the position is filled prior to the closing date of the announcement, the announcement will be closed."
Logistics Management-DHA/EHA ACWA GS-0346-5,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. This is NOT an announcement to fill a vacancy. NO POSITIONS will be filled from this posting. This is an ACWA ASSESSMENT TEST for a previous Public Notice. DO NOT apply to this posting UNLESS you have received an email invitation to do so. Persons who apply without invitation WILL NOT be reviewed or referred for consideration and WILL NOT receive notification of such."
Logistics Management-DHA/EHA ACWA GS-0346-7,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. This is NOT an announcement to fill a vacancy. NO POSITIONS will be filled from this posting. This is an ACWA ASSESSMENT TEST for a previous Public Notice. DO NOT apply to this posting UNLESS you have received an email invitation to do so. Persons who apply without invitation WILL NOT be reviewed or referred for consideration and WILL NOT receive notification of such."
Psychiatrist - Pain Clinic,"The incumbent will be assigned to the Mental Health Care Line in Houston, Texas. The psychiatrist for this position is assigned to the Pain Evaluation Center (PEC). PEC professionals are specialty-trained in treating a variety of complex pain conditions utilizing a biopsychosocial approach."
General Business and Industry - DHA/EHA ACWA GS-1101-5,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. This is NOT an announcement to fill a vacancy. NO POSITIONS will be filled from this posting. This is an ACWA ASSESSMENT TEST for a previous Public Notice. DO NOT apply to this posting UNLESS you have received an email invitation to do so. Persons who apply without invitation WILL NOT be reviewed or referred for consideration and WILL NOT receive notification of such."
PHYSICIAN (FAMILY PRACTICE),The selectee will serve as a Family Practice Physician providing full range of medical services for pediatric to geriatric patients on site in the Family Medicine Clinic within the assigned unit of the Medical Treatment Facility (MTF).
General Business and Industry - DHA/EHA ACWA GS-1101-7,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. This is NOT an announcement to fill a vacancy. NO POSITIONS will be filled from this posting. This is an ACWA ASSESSMENT TEST for a previous Public Notice. DO NOT apply to this posting UNLESS you have received an email invitation to do so. Persons who apply without invitation WILL NOT be reviewed or referred for consideration and WILL NOT receive notification of such."
Physician (Emergency Medicine),"Emergency Medicine Physician at the Louis A. Johnson VAMC works directly with, including but not limited to, other physicians, nursing staff, administrative staff, and social workers. The Emergency Department (ED) operates 24/7 and the selectee will be involved in the evaluation, treatment, and management of patients requiring acute medical and specialty care."
